LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
36.78551,10.15781,1989,03,21,    1.77,    7.09,   74.39,   99.72,    4.83,   13.35,    8.72,    8.72,   15.92,   11.10,   13.24
36.78551,10.15781,1989,03,22,    2.39,    7.40,   75.59,  100.29,    5.47,   14.11,    9.44,    9.44,   16.93,   11.45,   13.72
36.78551,10.15781,1989,03,23,    0.44,    7.49,   73.15,  100.48,    7.54,   14.85,    9.64,    9.65,   18.85,   11.31,   14.45
36.78551,10.15781,1989,03,24,    1.00,    7.28,   71.08,  100.39,    6.16,   14.67,    9.16,    9.16,   18.03,   11.87,   14.43
36.78551,10.15781,1989,03,25,    0.15,    6.99,   71.16,  100.64,    7.39,   14.51,    8.63,    8.63,   18.00,   10.61,   13.83
36.78551,10.15781,1989,03,26,    0.01,    7.25,   68.12,  100.96,    8.90,   15.78,    9.21,    9.22,   20.70,   11.80,   15.13
36.78551,10.15781,1989,03,27,    0.00,    6.97,   63.68,  101.06,   12.67,   15.66,    8.48,    8.49,   22.58,    9.91,   15.58
36.78551,10.15781,1989,03,28,    0.00,    7.43,   67.71,  100.88,   10.41,   16.08,    9.43,    9.44,   21.34,   10.93,   15.58
36.78551,10.15781,1989,03,29,    0.00,    8.84,   77.58,  100.81,    9.47,   16.37,   12.21,   12.21,   21.49,   12.02,   16.15
36.78551,10.15781,1989,03,30,    0.00,    8.74,   76.43,  100.90,    9.09,   16.40,   12.03,   12.03,   21.57,   12.49,   16.21
36.78551,10.15781,1989,03,31,    0.00,    8.55,   69.90,  100.73,   12.00,   17.29,   11.63,   11.63,   24.23,   12.22,   17.25
36.78551,10.15781,1989,04,01,    0.00,    8.08,   67.73,  100.59,   10.93,   16.98,   10.73,   10.74,   23.63,   12.70,   16.85
36.78551,10.15781,1989,04,02,    0.00,    6.80,   55.12,  100.28,   14.02,   17.83,    8.06,    8.08,   24.82,   10.81,   17.35
36.78551,10.15781,1989,04,03,    0.21,    8.07,   63.23,   99.36,   11.48,   17.49,   10.50,   10.50,   25.35,   13.87,   17.71
36.78551,10.15781,1989,04,04,    0.09,    7.29,   60.60,   99.16,   15.37,   17.06,    8.86,    8.87,   25.95,   10.58,   16.75
36.78551,10.15781,1989,04,05,    0.01,    5.87,   55.11,  100.00,   13.14,   16.04,    5.59,    5.63,   21.90,    8.76,   15.00
36.78551,10.15781,1989,04,06,    0.03,    6.10,   59.66,  100.78,    9.62,   15.43,    6.58,    6.60,   19.75,   10.13,   14.48
36.78551,10.15781,1989,04,07,    0.00,    6.33,   56.90,  101.06,   13.38,   16.47,    7.16,    7.17,   22.67,    9.29,   15.83
36.78551,10.15781,1989,04,08,    0.00,    6.98,   57.41,  100.69,   12.73,   17.95,    8.43,    8.44,   24.16,   11.43,   17.18
36.78551,10.15781,1989,04,09,    0.00,    8.35,   67.70,  100.37,   11.98,   17.82,   11.12,   11.12,   24.22,   12.24,   17.32
36.78551,10.15781,1989,04,10,    0.04,    8.93,   73.24,   99.47,   10.05,   17.41,   12.15,   12.15,   22.67,   12.62,   17.01
36.78551,10.15781,1989,04,11,    6.85,    8.85,   76.46,   99.59,    8.30,   16.56,   12.03,   12.03,   21.04,   12.74,   16.20
36.78551,10.15781,1989,04,12,    5.80,    8.24,   69.55,   99.94,    9.48,   17.03,   10.99,   11.00,   21.68,   12.21,   16.64
36.78551,10.15781,1989,04,13,    7.25,    7.03,   61.78,   99.88,    5.87,   16.12,    8.30,    8.32,   19.31,   13.44,   16.00
36.78551,10.15781,1989,04,14,    0.23,    6.42,   57.59,  100.07,    7.15,   16.09,    7.10,    7.11,   19.75,   12.59,   15.71
36.78551,10.15781,1989,04,15,    0.04,    6.02,   57.51,  100.59,    9.13,   15.42,    6.42,    6.44,   19.70,   10.57,   14.82
36.78551,10.15781,1989,04,16,    0.03,    6.97,   60.01,  100.42,   15.16,   17.39,    8.51,    8.52,   24.12,    8.96,   16.41
